# 界面外挂文本：键名<TAB>中文；UTF-8；\n 换行；\\ 表示反斜线。
# 格式串中的 %u、%03u、%.24s 等占位符须保持原样和顺序；格式串中百分号写为 %%。
# 原版图片内的文字不属于本表。修改后重新启动游戏生效。
common.yes	是
status.nawa_data_invalid	奖励动画数据无效
status.preview_unavailable	预览不可用；按 A 仍可进入场景
status.history_no_voice	这条记录没有语音

settings.title	设置 - 第 %u/%u 页
settings.number	%d / %d
settings.item	%s %s：%s
settings.footer	设置将在下一条消息、语音或画面效果中生效。
settings.text_speed	文字速度
settings.auto_speed	自动播放速度
settings.voice_volume	语音音量
settings.music_volume	音乐音量
settings.effect_volume	音效音量
settings.voice_playback	播放语音
settings.music_playback	播放音乐
settings.sound_effects	播放音效
settings.visual_effects	画面效果
settings.message_transparency	消息透明度
settings.mouth_animation	嘴部动画
settings.message_red	消息红色
settings.message_green	消息绿色
settings.message_blue	消息蓝色
settings.male_voices	男性语音
settings.female_voices	女性语音
settings.read_skip	已读跳过
settings.auto_dialogue	自动对白
settings.movies_3d	3D 影片
settings.scene_sound_effects	场景音效
settings.right_click_menu	右键菜单
settings.scene_animation	场景动画
settings.navigation_preview	场景导航预览
settings.scene_effect_volume	场景音效音量
settings.movie_sync	影片同步
settings.sungeki_animation	短剧动画
settings.schedule_check	日程检查
settings.minigame_difficulty	小游戏难度
settings.sungeki_sound	短剧音效
settings.text_speed_enabled	启用文字速度
settings.configuration_page	设置页
settings.character_voice_00	角色语音 00
settings.character_voice_01	角色语音 01
settings.character_voice_02	角色语音 02
settings.character_voice_03	角色语音 03
settings.character_voice_04	角色语音 04
settings.character_voice_05	角色语音 05
settings.character_voice_06	角色语音 06
settings.character_voice_07	角色语音 07
settings.character_voice_08	角色语音 08
settings.character_voice_09	角色语音 09
settings.character_voice_10	角色语音 10
settings.character_voice_11	角色语音 11
settings.character_voice_12	角色语音 12
settings.character_voice_13	角色语音 13
settings.character_voice_14	角色语音 14
settings.character_voice_15	角色语音 15
settings.character_voice_16	角色语音 16
settings.character_voice_17	角色语音 17
settings.character_voice_18	角色语音 18
settings.character_voice_19	角色语音 19
settings.character_voice_20	角色语音 20
settings.character_voice_21	角色语音 21
settings.character_voice_22	角色语音 22
settings.character_voice_23	角色语音 23
settings.character_voice_24	角色语音 24
settings.character_voice_25	角色语音 25
settings.character_voice_26	角色语音 26
settings.character_voice_27	角色语音 27
settings.character_voice_28	角色语音 28
settings.character_voice_29	角色语音 29
settings.character_voice_30	角色语音 30
settings.character_voice_31	角色语音 31
settings.character_voice_32	角色语音 32

menu.video.title	影片
menu.video.item	%s %02u  %.60s  %s
menu.navigation.title	导航：回放已完成场景
menu.navigation.item	%s 第 %u 部分
menu.nawa.title	奖励与小游戏
menu.nawa.item	%s 场景 %02u   %s
menu.nawa.bonus	%s 奖励游戏 %u
menu.replay.title	场景回放：%s（%u / 5）
menu.replay.item	%s 场景 %02u
menu.replay.footer	场景 %02u/%02u  %s
menu.playback.title	选择场景播放方式
menu.playback.animation_selected	> 动画
menu.playback.animation	  动画
menu.playback.still_selected	> 静态图片
menu.playback.still	  静态图片
menu.cg.title	CG 分类 %u / 7%s
menu.cg.variants	 - 差分
menu.cg.movie_item	%s 影片 %02u  %s
menu.cg.variant_item	%s 差分 %03u  %s
menu.cg.item	%s CG %03u   %u / %u 个差分
menu.music.title	音乐
menu.music.item	%s %02u  %.55s
menu.history.title	回看记录 %u / %u
menu.gallery.footer	第 %u/%u 页  %s %03u  %s
menu.gallery.variant_footer	%s %u/%u
menu.nav_map	导航地图  场景 %03u
status.returning_title	正在返回标题……
status.title_init_failed	无法初始化标题界面
status.reset_recovery	重置失败，请重启恢复；原文件已保留。
status.locked_or_unavailable	尚未解锁或无法使用
status.movie_unavailable	该影片尚未解锁或无法读取
status.animation_unavailable	动画尚未解锁或无法读取
status.variant_unavailable	该差分尚未解锁或图片无法读取
status.track_unavailable	该曲目尚未解锁或无法播放
status.cg_upload_failed	CG 纹理上传失败
status.voice_queue_failed	无法创建语音队列
status.voice_load_failed	无法读取语音
status.voice_output_failed	无法输出语音
status.voice_decode_failed	无法解码语音
status.voice_playing	正在播放语音……
status.voice_replay_hint	A／Enter：重播语音
status.backlog_replay_failed	回看播放失败：%.64s
menu.nawa.footer	场景 %02u  %s
menu.navigation.save	存档 %03u
menu.navigation.scene	场景 %u
